**Rank**	**Name**	**Sector**	**Absolute growth rate** ^(in %)^	**Compound annual growth rate** ^(in %)^	**Revenue 2022** ^(in S$)^	**Revenue 2019** ^(in S$)^	**Number of employees in 2022**	**Number of employees in 2019**	**Founding year**
76	<a href=https://vinova.sg/>Vinova</a>	IT & Software	95.50%	25.04%	4,167,841	2,131,943	119	55	2010
77	<a href=https://www.aztechglobal.com/>Aztech</a>	Electrical Manufacturing	91.28%	24.13%	820,244,000	428,825,000	1307	918	2009
78	<a href=https://www.handshakes.com.sg/>Handshakes</a>	IT & Software	88.54%	23.54%	10,757,943	5,706,033	129	64	2011
79	<a href=https://www.globeteleservices.com/>Globe Teleservices</a>	Media & Telecommunications	86.10%	23.00%	62,204,302	33,073,155	133	100	2014
80	<a href=https://www.bluconnection.com/>Bluconnection</a>	Chemicals	85.42%	22.85%	98,046,640	52,322,828	27	8	2009
81	<a href=https://beyondmedical.com.sg/>Beyond Medical Group</a>	Health Care & Life Sciences	76.27%	20.80%	30,847,956	17,500,746	70	50	2013
82	<a href=https://www.teshagroup.com/>Tesha Corporation</a>	Agriculture, Forestry & Fishing	74.19%	20.32%	5,910,366	3,357,404	9	4	2012
83	<a href=https://www.easmed.com/>Easmed</a>	Health Care & Life Sciences	74.10%	20.30%	11,852,923	6,808,106	30	24	2006
84	<a href=https://vitagroup.com.sg/>Vita Group</a>	Wholesale	73.87%	20.25%	25,216,359	14,502,677	22	11	2015
85	<a href=https://khaitan.com.sg/>Khaitan International</a>	Wholesale	69.87%	19.32%	204,394,180	119,060,850	10	7	1985
86	<a href=https://www.tcb.com.sg/>The Curtain Boutique</a>	Retail	66.06%	18.42%	8,914,528	5,368,315	55	37	2014
87	<a href=https://www.pollisum.com/>Pollisum</a>	Construction & Engineering	60.55%	17.10%	32,680,499	20,354,933	206	179	1982
88	<a href=https://www.mci.com.sg/>MCI Career Services</a>	Employment Services	59.00%	16.72%	25,437,880	15,998,245	610	118	2007
89	<a href=https://tslmedia.sg/>The Smart Local (TSL) Media Group</a>	Media & Telecommunications	56.93%	16.21%	11,054,974	7,044,734	140	94	2013
90	<a href=https://www.huttonsgroup.com/>Huttons</a>	Real Estate	56.77%	16.17%	239,980,000	153,078,000	59	48	2002
91	<a href=https://www.herbalpharm.com.sg/>Herbal Pharm</a>	Retail	50.99%	14.72%	10,541,145	6,981,488	53	37	2004
92	<a href=http://www.intelorg.com.sg/>Intelorg</a>	Wholesale	49.12%	14.25%	472,903,243	313,783,030	16	15	1990
93	<a href=https://www.themeatclub.com.sg/>The Meat Club</a>	Ecommerce	47.22%	13.76%	2,509,582	1,704,709	3	3	2015
94	<a href=https://onnwah.com/>Onn Wah Precision Engineering</a>	Manufacturing	45.11%	13.21%	45,811,948	31,571,579	239	233	1999
95	<a href=https://whyze.com.sg/>Whyze Solutions</a>	IT & Software	40.00%	11.87%	3,132,838	2,237,753	26	19	2008
96	<a href=https://www.reddoorz.com/en-sg>Reddoorz</a>	Hospitality & Travel	39.04%	11.61%	28,252,000	20,320,000	953	1594	2014
97	<a>Caprico International</a>	Wholesale	38.02%	11.34%	76,439,718	54,800,493	3	2	1995
98	<a href=https://www.uobkayhian.com/>UOB Kay Hian</a>	Fintech, Financial Services & Insurance	33.00%	9.97%	495,710,000	372,720,000	507	567	1990
99	<a href=https://www.connectcue.com/>Connect Group</a>	Hospitality & Travel	29.99%	9.14%	11,230,158	8,639,529	142	145	2012
100	<a href=https://rollingarrays.com/>Rolling Arrays</a>	IT & Software	26.98%	8.29%	9,327,942	7,346,132	33	52	2009
