**Rank**	**Name**	**Sector**	**Absolute growth rate** ^(in %)^	**Compound annual growth rate (CAGR)** ^(in %)^	**Revenue 2023** ^(in SGD)^	**Revenue 2020** ^(in SGD)^	**Number of employees 2023**	**Number of employees 2020**	**Founding year**
67	<a href=http://www.alto-grp.com/>ALTO</a>	Construction & Engineering	113.19%	28.70%	2,584,093	1,212,128	28	19	2008
68	<a href=https://www.aslglobal.sg/>Asl Global</a>	Logistics & Transportation	112.94%	28.65%	8,703,906	4,087,528	25	17	2007
69	<a href=https://www.sj-digitalmedia.com/>SJ Digital Media Solutions</a>	Management Consulting	108.69%	27.79%	2,516,662	1,205,924	16	8	2016
70	<a href=https://www.asiaexcel.com.sg/>Asia Excel</a>	Retail	102.66%	26.55%	16,238,186	8,012,354	20	20	2007
71	<a href=https://www.bitdeer.com/>Bitdeer</a>	IT & Software	97.74%	25.52%	485,975,304	246,422,253	211	74	2020
72	<a href=https://www.enrsingapore.com/>Equentia Natural Resources</a>	Metals & Mining	94.08%	24.74%	1,035,559,986	534,991,262	44	37	2010
73	<a href=https://synergy.com.sg/>Synergy Financial Advisers</a>	Fintech, Financial Services & Insurance	86.83%	23.16%	8,305,687	4,445,711	34	32	2012
74	<a href=https://www.aztech.com/>Aztech Global Ltd</a>	Manufacturing	85.08%	22.78%	896,286,000	484,273,000	1837	1093	2009
75	<a href=https://artizstudio.sg/>Korea Artiz Studio</a>	Retail	76.78%	20.91%	3,494,433	1,976,721	27	20	2017
76	<a href=https://khaitan.com.sg/>Khaitan International</a>	Wholesale	76.54%	20.86%	201,453,542	114,414,756	10	6	1985
77	<a href=https://www.foodline.sg/>FoodLine.sg</a>	Food & Beverages	75.95%	20.72%	5,845,838	3,322,477	11	14	2013
78	<a href=https://www.tcb.com.sg/>The Curtain Boutique</a>	Manufacturing	72.21%	19.86%	9,857,292	5,723,970	60	39	2012
79	<a href=https://www.businessedge.asia/>Business Edge Personnel Services</a>	Employment Services	72.05%	19.83%	63,669,404	37,006,593	30	15	1996
80	<a href=https://choonhuat.com.sg/>Choon Huat Engineering</a>	Construction & Engineering	71.94%	19.80%	33,182,900	19,298,833	130	100	1983
81	<a href=https://www.lighthouse-canton.com/>Lighthouse Canton</a>	Fintech, Financial Services & Insurance	71.66%	19.74%	21,204,106	12,385,326	136	56	2019
82	<a href=https://www.sin-chew.com.sg/>Sin Chew</a>	Logistics & Transportation	70.46%	19.46%	21,799,374	12,788,573	182	97	2001
83	<a href=https://www.dglux.com.sg/>Dglux</a>	Construction & Engineering	69.20%	19.16%	1,534,350	906,831	7	9	2010
84	<a href=https://securistate.com/>Securistate</a>	Professional, Scientific & Technical Services	66.41%	18.50%	14,326,227	8,608,787	300	350	2010
85	<a href=https://www.nuffielddental.com.sg/>Nuffield Holdings</a>	Healthcare & Life Sciences	66.19%	18.45%	24,504,090	14,744,290	140	110	2014
86	<a href=https://vitawoodglobal.com/>Vita Group</a>	Wholesale	65.69%	18.33%	24,163,897	14,583,838	16	10	2003
87	<a href=https://denjet.com/>Den-Jet Marine</a>	Manufacturing	61.13%	17.24%	29,940,691	18,581,513	22	19	2004
88	<a href=https://www.ingenious.sg/>Ingenious Business Software</a>	IT & Software	57.02%	16.23%	3,524,481	2,244,675	17	16	2004
89	<a href=https://leongguan.com/>Leong Guan Food Manufacturer</a>	Food & Beverages	53.66%	15.40%	21,810,513	14,193,863	189	187	2005
90	<a href=https://www.huttonsgroup.com/>Huttons Asia</a>	Real Estate	52.48%	15.10%	235,096,726	154,183,849	55	53	2002
91	<a href=https://leongguan.com/>Leong Guan Food Trading</a>	Food & Beverages	51.09%	14.75%	23,657,248	15,657,865	65	50	2003
92	<a href=https://acsfrt.com.sg/>ACS Freight Services</a>	Logistics & Transportation	47.30%	13.78%	24,788,370	16,828,677	75	38	2011
93	<a href=https://www.lihming.com.sg/>Lih Ming Construction</a>	Construction & Engineering	45.16%	13.23%	19,117,319	13,169,869	103	93	2002
94	<a href=https://www.falconmobility.com.sg/>Falcon Mobility</a>	Retail	44.56%	13.07%	2,465,487	1,705,509	8	8	2007
95	<a href=https://www.cse-global.com/>CSE Global Limited</a>	IT & Software	44.21%	12.98%	725,051,000	502,789,000	2000	1400	1987
96	<a href=https://www.watsonep.com.sg/>Watson EP Industries</a>	Manufacturing	41.78%	12.34%	43,767,876	30,871,033	74	70	1980
97	<a href=https://www1.era.com.sg/>ERA Realty Network</a>	Real Estate	41.07%	12.15%	547,709,978	388,261,283	151	110	1981
98	<a href=https://rentalworks.com.sg/>Rentalworks Group</a>	IT & Software	40.24%	11.93%	5,626,017	4,011,685	37	20	2007
99	<a href=https://www.familymovers.com/>Family Movers</a>	Logistics & Transportation	40.10%	11.90%	9,393,864	6,705,118	37	37	1975
100	<a href=https://vinova.sg/>Vinova</a>	IT & Software	39.88%	11.84%	4,862,665	3,476,218	126	76	2010
