Rank,Name,Sector,Absolute growth rate,Compound annual growth rate (CAGR),Revenue 2021,Revenue 2018,Number of employees 2021,Number of employees 2018,Founding year,Website
78,BLUCONNECTION,Chemicals ,96.4,25.23,87233381.0,44848503.0,10.0,9.0,2009,https://www.bluconnection.com
79,Luce SG,"Professional, Scientific & Technical Services ",95.9,25.13,7827670.0,3995696.0,420.0,300.0,2017,https://lucemg.com
80,Sitra,Manufacturing,90.1,23.87,26744982.0,14072028.0,,,1979,http://www.sitraholdings.com
81,Sing Fuels,Energy & Utilities,84.4,22.62,636899211.0,348759798.0,47.0,25.0,2012,https://www.singfuels.com
82,Memiontec,Construction & Engineering ,83.8,22.5,46205000.0,25134540.0,,,1992,https://www.memiontec.com
83,PCRD,Management Consulting ,82.3,22.16,28786000.0,15791000.0,,,1963,https://www.pcrd.com
84,APRO,"Professional, Scientific & Technical Services ",80.9,21.85,76751213.0,42428814.0,1400.0,900.0,1985,https://www.apro.com.sg
85,Aztech,Manufacturing,80.5,21.76,626009000.0,346822000.0,2685.0,,1986,https://www.aztechglobal.com
86,MAPTRASCO,Wholesale ,74.8,20.46,170058357.0,98222274.0,8.0,5.0,1985,https://www.khaitan.com.sg
87,Asia Excel,Retail ,71.2,19.63,11907509.0,6955029.0,18.0,18.0,2001,https://www.asiaexcel.com.sg
88,The Curtain Boutique,Manufacturing,66.8,18.61,8422000.0,5047763.0,48.0,27.0,2014,https://www.tcb.com.sg
89,MLION Corporation,Wholesale ,65.9,18.39,144014237.0,87636050.0,30.0,23.0,2011,https://mlioncorp.com
90,Adroit Overseas,Logistics & Transportation ,56.7,16.14,151228196.0,97474016.0,8.0,9.0,2010,https://adroitoverseas.com
91,E-Tech,"Professional, Scientific & Technical Services ",55.9,15.96,15252507.0,9780598.0,200.0,190.0,1990,https://www.e-tech.com.sg
92,Yeap Medical Supplies,Wholesale ,49.9,14.44,37465975.0,25000508.0,77.0,53.0,2000,https://www.yms.com.sg
93,The Meat Club,Food & Beverages ,48.5,14.08,2425938.0,1634082.0,4.0,3.0,2014,https://www.themeatclub.com.sg
94,Raffles Medical Group,Health Care & Life Sciences ,48.0,13.95,723791000.0,489135000.0,2700.0,2500.0,1976,https://www.rafflesmedicalgroup.com
95,Whyze,IT & Software ,41.6,12.29,2930956.0,2070300.0,26.0,19.0,2008,https://whyze.com.sg
96,Lynx Analytics,IT & Software ,41.3,12.21,9013858.0,6379848.0,68.0,29.0,2010,https://www.lynxanalytics.com
97,VITA,Wholesale ,37.1,11.08,23900831.0,17439036.0,18.0,7.0,2003,https://www.vitagroup.com.sg
98,Soul & Tables,Retail ,36.3,10.86,5819977.0,4271207.0,20.0,12.0,2012,https://www.soulandtables.com.sg
99,Huttons Group,Real Estate ,34.9,10.5,239940000.0,177825306.0,60.0,48.0,2002,https://www.huttonsgroup.com
100,Boustead Singapore,Construction & Engineering,34.2,10.31,631811000.0,470646000.0,1114.0,773.0,1828,https://boustead.sg/
